category,title
Data Types & Variables,What are the primitive data types in JavaScript?
Data Types & Variables,How do you check the data type of a variable?
Data Types & Variables,What are template literals and how are they used?
Data Types & Variables,Explain the concept of tagged templates.
Data Types & Variables,What is the spread operator and how is it used?
Data Types & Variables,What is the difference between `null` and `undefined`?
Data Types & Variables,How do you convert a string to a number in JavaScript?
Data Types & Variables,What are global variables and why are they generally avoided?
Hoisting,What is hoisting in JavaScript?
Hoisting,"Explain the difference in hoisting between `var`, `let`, and `const`."
Hoisting,How does hoisting affect function declarations and expressions?
Hoisting,What are the potential issues caused by hoisting?
Hoisting,How can you avoid problems related to hoisting?
Operators & Control Flow,Explain the difference between the `==` and `===` operators.
Operators & Control Flow,What are the different types of loops in JavaScript?
Operators & Control Flow,What is the purpose of the `break` and `continue` statements?
Operators & Control Flow,Explain the difference between `&&` and `||` operators.
Operators & Control Flow,What is the ternary operator and how is it used?
Operators & Control Flow,What is the difference between `for...in` and `for...of` loops?
Operators & Control Flow,How do you access the index of an element in an array during iteration?
Operators & Control Flow,What is the purpose of the `switch` statement?
Operators & Control Flow,What are rest parameters and how are they used?
Operators & Control Flow,Explain the concept of the spread operator and its uses.
Functions,What is a function declaration and how does it differ from a function expression?
Functions,Explain the concept of scope in JavaScript.
Functions,What are closures and how are they used?
Functions,What is the difference between a parameter and an argument?
Functions,Explain the concept of hoisting with regards to functions.
Functions,What are arrow functions and how do they differ from regular functions?
Functions,What is the `this` keyword and how does its context change?
Functions,Explain the concept of higher-order functions.
Functions,What are callback functions and how are they used?
Functions,What is recursion and how is it used in JavaScript?
Functions,What are default parameters and how are they used?
Objects & Arrays,What are the different ways to create an object in JavaScript?
Objects & Arrays,Explain the difference between dot notation and bracket notation for accessing object properties.
Objects & Arrays,What are the different methods for iterating over an array?
Objects & Arrays,"How do you add, remove, and update elements in an array?"
Objects & Arrays,What are the different ways to copy an object or an array?
Objects & Arrays,Explain the difference between shallow copy and deep copy.
Objects & Arrays,What are the advantages of using the spread operator with arrays and objects?
Objects & Arrays,How do you check if an object has a specific property?
Objects & Arrays,What are destructuring assignments and how are they used with objects and arrays?
Objects & Arrays,Explain the concept of object prototypes and prototypal inheritance.
Objects & Arrays,Explain the concept of destructuring assignment for objects and arrays.
Objects & Arrays,What is `Object.freeze()` for?
Objects & Arrays,What is `Object.seal()` for?
Objects & Arrays,What is `Object.preventExtensions()` for?
Objects & Arrays,How do you reliably determine whether an object is empty?
Asynchronous JavaScript,What is the difference between synchronous and asynchronous code?
Asynchronous JavaScript,Explain the concept of a callback function in asynchronous operations.
Asynchronous JavaScript,What are Promises and how do they work?
Asynchronous JavaScript,Explain the different states of a Promise.
Asynchronous JavaScript,What are the advantages of using Promises over callbacks?
Asynchronous JavaScript,What is the use of `Promise.all()`
Asynchronous JavaScript,How is `Promise.all()` different from `Promise.allSettled()`?
Asynchronous JavaScript,What is async/await and how does it simplify asynchronous code?
Asynchronous JavaScript,How do you handle errors in asynchronous operations?
Asynchronous JavaScript,What is the event loop and how does it relate to asynchronous JavaScript?
Asynchronous JavaScript,Explain the concept of a microtask queue.
Asynchronous JavaScript,"What is the difference between `setTimeout()`, `setImmediate()`, and `process.nextTick()`?"
Asynchronous JavaScript,What are the different ways to make an API call in JavaScript?
Prototypes & Inheritance,Explain the concept of prototypal inheritance in JavaScript.
Prototypes & Inheritance,What is the prototype chain and how does it work?
Prototypes & Inheritance,How do you create a constructor function?
Prototypes & Inheritance,What is the purpose of the `new` keyword?
Prototypes & Inheritance,Explain the difference between classical inheritance and prototypal inheritance.
Prototypes & Inheritance,What are static methods in classes?
Prototypes & Inheritance,Explain the concept of inheritance in ES2015 classes.
Prototypes & Inheritance,Explain the concept of classes in ES2015 and how they differ from constructor functions.
Closures & Scope,What is a closure and how does it work?
Closures & Scope,Explain the concept of lexical scoping.
Closures & Scope,How can closures be used to create private variables?
Closures & Scope,What are the potential pitfalls of using closures?
Closures & Scope,"Explain the difference between global scope, function scope, and block scope."
This Keyword,Explain the different ways the `this` keyword can be bound.
This Keyword,How does the `this` keyword behave in arrow functions?
This Keyword,What are the common pitfalls of using the `this` keyword?
This Keyword,"How can you explicitly set the value of `this` using `call`, `apply`, and `bind`?"
This Keyword,Explain the concept of `this` binding in event handlers.
